ds,yhat,yhat_hybrid
2025-10-15,31363333.192495897,36968524.1924959
2025-10-16,38714825.50289899,45736269.00289899
2025-10-17,46512607.35385811,54081504.35385811
2025-10-18,40421969.345427446,48311802.345427446
2025-10-19,42044485.98398129,50082687.48398129
2025-10-20,42021368.50809931,50073446.00809931
2025-10-21,40551696.203789525,48488720.703789525
2025-10-22,42399138.43099099,50183261.93099099
2025-10-23,49590787.61020268,57200981.61020268
2025-10-24,57075563.23617256,64501034.23617256
2025-10-25,50524787.9284012,57760479.9284012
2025-10-26,51548632.033487566,58595566.533487566
2025-10-27,50799241.84080855,57669801.84080855
2025-10-28,48488704.63622142,55141619.63622142
2025-10-29,49395469.80585705,55859155.30585705
2025-10-30,55562853.80264794,61822578.30264794
2025-10-31,61957096.98034483,68038220.48034483
2025-11-01,54267581.41222847,60188965.91222847
2025-11-02,54122914.28556846,59913203.78556846
2025-11-03,52193699.78189725,57851321.78189725
2025-11-04,48710160.1071017,54233420.6071017
2025-11-05,48468231.74640466,53865461.74640466
2025-11-06,53527770.89902551,58811851.39902551
2025-11-07,58870341.3959531,64056781.3959531
2025-11-08,50199198.579455115,55291482.579455115
2025-11-09,49155177.09102999,54165225.09102999
2025-11-10,46419307.79275666,51339304.29275666
2025-11-11,42230325.74844481,47057598.24844481
2025-11-12,41390695.57320191,46106146.07320191
2025-11-13,45964787.35455803,50593975.85455803
